"origin_date","horizon","target_end_date","output_type_id","value","output_type","target","location"
2024-11-06,1,2024-11-03,0.3,340,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.35,242,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.4,271,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.45,310.55,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.5,351.5,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.55,251,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.6,279,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.65,317.35,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.7,363.3,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.75,260,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.8,286,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.85,332.3,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.9,373.1,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.95,275.1,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.975,304.05,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.99,348.06,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.01,0,"quantile","ILI incidence","HR"
2024-11-06,1,2024-11-03,0.025,0,"quantile","ILI incidence","HR"
2024-11-06,1,2024-11-03,0.05,1.95,"quantile","ILI incidence","HR"
2024-11-06,1,2024-11-03,0.1,8,"quantile","ILI incidence","HR"
2024-11-06,1,2024-11-03,0.15,0,"quantile","ILI incidence","HR"
2024-11-06,1,2024-11-03,0.2,1,"quantile","ILI incidence","HR"
2024-11-06,1,2024-11-03,0.25,3,"quantile","ILI incidence","HR"
2024-11-06,1,2024-11-03,0.3,10,"quantile","ILI incidence","HR"
2024-11-06,1,2024-11-03,0.35,1,"quantile","ILI incidence","HR"
2024-11-06,1,2024-11-03,0.4,2,"quantile","ILI incidence","HR"
2024-11-06,1,2024-11-03,0.45,4.55,"quantile","ILI incidence","HR"
2024-11-06,1,2024-11-03,0.5,11,"quantile","ILI incidence","HR"
2024-11-06,1,2024-11-03,0.55,1,"quantile","ILI incidence","HR"
2024-11-06,1,2024-11-03,0.6,2,"quantile","ILI incidence","HR"
2024-11-06,1,2024-11-03,0.65,6,"quantile","ILI incidence","HR"
2024-11-06,1,2024-11-03,0.7,13,"quantile","ILI incidence","HR"
2024-11-06,1,2024-11-03,0.75,2,"quantile","ILI incidence","HR"
2024-11-06,1,2024-11-03,0.8,4,"quantile","ILI incidence","HR"
2024-11-06,1,2024-11-03,0.85,7,"quantile","ILI incidence","HR"
2024-11-06,1,2024-11-03,0.9,16,"quantile","ILI incidence","HR"
2024-11-06,1,2024-11-03,0.95,4,"quantile","ILI incidence","HR"
2024-11-06,1,2024-11-03,0.975,6,"quantile","ILI incidence","HR"
2024-11-06,1,2024-11-03,0.99,10,"quantile","ILI incidence","HR"
2024-11-06,1,2024-11-03,0.01,28,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.025,36,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.05,51.95,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.1,70,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.15,32,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.2,40.8,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.25,58,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.3,77,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.35,35,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.4,45,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.45,62,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.5,82,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.55,38,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.6,48.4,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.65,66,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.7,86,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.75,41,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.8,53,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.85,71,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.9,93,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.95,46,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.975,60.525,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.99,81.01,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.01,173.98,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.025,209,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.05,259.9,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.1,320.9,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.15,194.85,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.2,227,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.25,278,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.3,335,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.35,204,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.4,237,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.45,285.55,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.5,345,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.55,208,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.6,247,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.65,296,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.7,353,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.75,220,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.8,258,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.85,307,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.9,363,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.95,235,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.975,275,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.99,316.39,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.01,333.93,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.025,391,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.05,468.95,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.1,554.8,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.15,353.85,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.2,410,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.25,489.75,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.3,574.7,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.35,362,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.4,420,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.45,501,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.5,585,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.55,373,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.6,431,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.65,513,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.7,598.3,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.75,385,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.8,454.2,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.85,524.15,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.9,618.1,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.95,398.1,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.975,471.05,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.99,567.03,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.01,246.84,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.025,364,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.05,543,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.1,804.7,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.15,268,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.2,382.8,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.25,562,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.3,824,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.35,277.65,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.4,392,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.45,576.55,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.5,839.5,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.55,286.45,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.6,405.4,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.65,589.7,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.7,850.3,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.75,295,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.8,419.2,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.85,607,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.9,873.1,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.95,313.05,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.975,436.525,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.99,626,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.01,934.84,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.025,1185.95,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.05,1567.75,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.1,2022.7,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.15,962.85,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.2,1225.6,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.25,1606.75,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.3,2052.5,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.35,997.3,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.4,1240.6,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.45,1621.55,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.5,2080.5,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.55,1008,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.6,1267.4,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.65,1642,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.7,2097.3,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.75,1026,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.8,1285.6,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.85,1673.6,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.9,2135.2,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.95,1067.05,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.975,1318.3,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.99,1726.25,"quantile","ILI incidence","GR"
2024-11-06,1,2024-11-03,0.01,257.98,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.025,331.9,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.05,436.7,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.1,556.9,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.15,279.85,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.2,347.8,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.25,450.5,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.3,573,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.35,290,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.4,358,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.45,461,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.5,585,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.55,300.45,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.6,368,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.65,473,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.7,595.3,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.75,310,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.8,376.2,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.85,483.3,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.9,612,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.95,325,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.975,392.525,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.99,511.35,"quantile","ILI incidence","HU"
2024-11-06,1,2024-11-03,0.01,2,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.025,4,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.05,5.95,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.1,8,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.15,5,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.2,6,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.25,7.75,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.3,10,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.35,6,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.4,8,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.45,9,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.5,12,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.55,8,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.6,9,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.65,12,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.7,14,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.75,9,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.8,11,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.85,14,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.9,17,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.95,12.05,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.975,13.525,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.99,18,"quantile","ILI incidence","IE"
2024-11-06,1,2024-11-03,0.01,36.98,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.025,83,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.05,184.85,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.1,405.8,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.15,43.85,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.2,88,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.25,197.5,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.3,424,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.35,48,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.4,94,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.45,205,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.5,434,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.55,51,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.6,99,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.65,212,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.7,446,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.75,55.25,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.8,103,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.85,221.15,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.9,462,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.95,61.05,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.975,114.05,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.99,239.02,"quantile","ILI incidence","LV"
2024-11-06,1,2024-11-03,0.01,28.94,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.025,108.95,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.05,386.95,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.1,1245.7,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.15,36,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.2,116.8,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.25,401,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.3,1280,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.35,41,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.4,128,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.45,408,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.5,1297,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.55,44,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.6,132,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.65,419.35,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.7,1312.6,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.75,47.25,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.8,138.2,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.85,432,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.9,1340,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.95,54,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.975,151.525,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.99,464.02,"quantile","ILI incidence","LT"
2024-11-06,1,2024-11-03,0.01,4743.4,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.025,5926.325,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.05,7613.2,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.1,9564.7,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.15,4823.85,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.2,6029,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.25,7661,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.3,9666.7,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.35,4873,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.4,6065.2,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.45,7696.55,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.5,9705.5,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.55,4903.45,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.6,6099.6,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.65,7735.15,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.7,9740.4,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.75,4956.25,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.8,6138,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.85,7788.3,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.9,9818.7,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.95,5019.35,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.975,6198.775,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.99,7856.27,"quantile","ILI incidence","LU"
2024-11-06,1,2024-11-03,0.01,5374.97,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.025,5887.075,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.05,6499.75,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.1,7131.4,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.15,5466.85,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.2,5969.6,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.25,6571.75,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.3,7224,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.35,5509.65,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.4,6000.4,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.45,6625.65,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.5,7262.5,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.55,5548.35,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.6,6042,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.65,6659.05,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.7,7295.8,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.75,5583.25,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.8,6095,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.85,6698.3,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.9,7365,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.95,5657.05,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.975,6192.725,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.99,6757.01,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.01,14.98,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.025,24.95,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.05,36,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.1,49,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.15,23,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.2,31,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.25,42,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.3,56,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.35,25,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.4,34,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.45,45,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.5,59.5,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.55,28,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.6,37,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.65,49,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.7,64,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.75,31,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.8,41,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.85,56,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.9,70,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.95,36.05,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.975,46.525,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.99,64,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.01,18.99,"quantile","ILI incidence","NO"
2024-11-06,1,2024-11-03,0.025,28,"quantile","ILI incidence","NO"
2024-11-06,1,2024-11-03,0.05,39.95,"quantile","ILI incidence","NO"
2024-11-06,1,2024-11-03,0.1,60,"quantile","ILI incidence","NO"
2024-11-06,1,2024-11-03,0.15,24,"quantile","ILI incidence","NO"
2024-11-06,1,2024-11-03,0.2,33,"quantile","ILI incidence","NO"
2024-11-06,1,2024-11-03,0.25,48,"quantile","ILI incidence","NO"
2024-11-06,1,2024-11-03,0.3,66,"quantile","ILI incidence","NO"
2024-11-06,1,2024-11-03,0.35,28,"quantile","ILI incidence","NO"
