Unnamed: 0,origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
74,2024-10-30,ILI incidence,2024-11-10,3,GR,quantile,0.4,646.6149993066869
75,2024-10-30,ILI incidence,2024-11-17,4,GR,quantile,0.4,636.8812214955956
80,2024-10-30,ILI incidence,2024-10-27,1,GR,quantile,0.45,686.3223143541092
81,2024-10-30,ILI incidence,2024-11-03,2,GR,quantile,0.45,674.5518932331754
82,2024-10-30,ILI incidence,2024-11-10,3,GR,quantile,0.45,665.0885054333645
83,2024-10-30,ILI incidence,2024-11-17,4,GR,quantile,0.45,657.1554118876845
88,2024-10-30,ILI incidence,2024-10-27,1,GR,quantile,0.5,698.1627877714021
89,2024-10-30,ILI incidence,2024-11-03,2,GR,quantile,0.5,690.3950805183518
90,2024-10-30,ILI incidence,2024-11-10,3,GR,quantile,0.5,683.4892993160138
91,2024-10-30,ILI incidence,2024-11-17,4,GR,quantile,0.5,677.3498024914084
84,2024-10-30,ILI incidence,2024-10-27,1,GR,quantile,0.55,710.0032611886951
85,2024-10-30,ILI incidence,2024-11-03,2,GR,quantile,0.55,706.2382678035283
86,2024-10-30,ILI incidence,2024-11-10,3,GR,quantile,0.55,701.8900931986631
87,2024-10-30,ILI incidence,2024-11-17,4,GR,quantile,0.55,697.5441930951322
76,2024-10-30,ILI incidence,2024-10-27,1,GR,quantile,0.6,721.890523206416
77,2024-10-30,ILI incidence,2024-11-03,2,GR,quantile,0.6,722.1440607407985
78,2024-10-30,ILI incidence,2024-11-10,3,GR,quantile,0.6,720.3635993253407
79,2024-10-30,ILI incidence,2024-11-17,4,GR,quantile,0.6,717.8183834872211
68,2024-10-30,ILI incidence,2024-10-27,1,GR,quantile,0.65,733.8726706971539
69,2024-10-30,ILI incidence,2024-11-03,2,GR,quantile,0.65,738.1768155204439
70,2024-10-30,ILI incidence,2024-11-10,3,GR,quantile,0.65,738.9845630721585
71,2024-10-30,ILI incidence,2024-11-17,4,GR,quantile,0.65,738.25440476539
60,2024-10-30,ILI incidence,2024-10-27,1,GR,quantile,0.7,746.0005134275368
61,2024-10-30,ILI incidence,2024-11-03,2,GR,quantile,0.7,754.4045183301978
62,2024-10-30,ILI incidence,2024-11-10,3,GR,quantile,0.7,757.8319458125338
63,2024-10-30,ILI incidence,2024-11-17,4,GR,quantile,0.7,758.9389149742628
52,2024-10-30,ILI incidence,2024-10-27,1,GR,quantile,0.75,758.3291851286375
53,2024-10-30,ILI incidence,2024-11-03,2,GR,quantile,0.75,770.9009410536947
54,2024-10-30,ILI incidence,2024-11-10,3,GR,quantile,0.75,776.9914286156015
55,2024-10-30,ILI incidence,2024-11-17,4,GR,quantile,0.75,779.9659468489754
44,2024-10-30,ILI incidence,2024-10-27,1,GR,quantile,0.8,770.9201018813592
